"E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
0,24,31,34,37,27,26,29,33,27,29,34,28,24,31,20,23,152,30,22,27,15,17,24,31,15,25,28,29,34,24,27,24,17
34,0,25,28,28,23,33,27,36,24,33,32,25,28,36,20,24,25,152,18,27,30,28,27,17,26,24,17,26,25,17,21,26,26
37,31,0,30,26,29,30,32,20,25,32,25,31,27,32,16,29,11,25,152,28,23,22,23,20,21,23,18,26,20,27,19,23,19
29,23,20,0,28,30,24,18,25,31,32,26,33,27,36,23,30,27,23,21,152,25,23,23,27,22,18,23,29,23,22,23,23,23
28,26,32,30,0,34,29,28,49,35,36,27,28,31,21,21,29,35,22,31,23,152,26,21,26,23,25,21,27,27,23,20,26,29
30,37,23,26,31,0,33,29,34,32,34,32,30,23,29,21,35,31,31,30,27,29,152,17,23,30,21,26,36,23,21,18,28,25
26,16,28,33,25,24,0,31,30,22,24,27,21,23,25,20,23,23,16,29,28,22,17,152,33,15,29,16,19,18,22,25,20,23
24,27,35,28,26,27,29,0,38,32,34,23,30,27,29,20,27,31,19,23,29,32,26,21,152,15,27,18,19,21,23,28,21,24
31,29,21,29,25,31,32,33,0,23,24,29,27,28,24,19,22,20,18,31,24,31,25,20,24,152,23,24,26,21,28,27,18,26
28,28,31,26,29,30,19,23,30,0,39,26,34,28,32,38,34,23,20,23,23,27,26,27,30,31,152,18,22,32,22,21,23,17
27,33,26,28,31,25,32,33,31,41,0,40,31,33,27,28,55,31,23,25,34,23,28,30,26,25,30,152,36,27,29,27,30,40
27,28,33,26,27,30,29,30,26,30,38,0,32,27,27,18,30,25,26,34,30,30,25,22,27,26,23,32,152,24,27,28,20,23
45,45,28,28,29,32,31,38,22,33,28,35,0,37,23,27,23,28,22,32,30,25,30,29,31,35,28,25,29,152,24,31,33,19
26,25,35,20,24,33,22,22,34,33,26,26,43,0,21,24,24,29,20,24,25,31,26,17,29,29,30,25,20,28,152,26,26,25
31,34,28,34,33,26,35,23,36,24,26,34,31,33,0,24,23,25,20,21,22,25,18,19,20,17,25,25,23,21,16,152,24,25
43,35,30,46,39,36,38,34,36,34,46,45,34,45,32,36,0,35,31,40,35,38,35,31,33,35,32,39,39,41,32,31,34,152
41,32,38,35,26,31,26,32,35,45,34,31,34,31,25,0,34,31,41,27,35,27,27,31,32,32,31,21,32,25,32,26,152,21
