"E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
0,27,29,34,33,19,26,30,36,35,20,38,29,21,24,22,27,147,26,23,23,18,23,21,35,20,34,25,27,27,29,25,21,20
31,0,32,28,24,26,31,27,26,29,31,28,21,35,30,14,30,26,147,22,24,24,31,27,26,27,25,19,25,27,15,26,17,26
35,32,0,31,27,22,33,30,25,24,30,21,32,25,32,18,22,15,22,147,30,27,28,19,24,27,25,22,25,36,28,21,24,21
25,25,24,0,39,27,21,20,18,26,26,29,30,29,31,21,28,27,23,24,147,18,23,24,25,20,18,24,27,25,25,20,18,22
35,27,31,28,0,39,32,16,37,31,27,22,25,24,33,19,21,28,28,24,24,147,21,23,28,21,23,17,20,23,23,18,22,28
28,30,23,23,32,0,29,28,35,34,31,27,27,23,24,23,32,30,26,29,23,26,147,16,20,29,18,24,34,18,20,21,17,21
24,22,29,33,19,29,0,30,24,25,25,25,23,21,21,11,20,27,32,22,24,21,21,147,31,18,30,26,25,22,19,25,27,23
29,27,31,23,27,30,29,0,36,32,31,24,33,33,30,16,22,30,27,26,30,31,24,23,147,20,28,17,27,26,26,28,17,27
27,32,24,29,27,32,31,35,0,35,33,27,29,32,28,18,24,18,20,31,26,23,22,25,24,147,28,25,27,22,27,32,29,30
36,30,29,24,25,24,31,22,27,0,40,30,31,32,30,20,31,27,27,28,22,30,35,38,34,19,147,26,32,35,31,34,25,24
31,28,33,34,34,32,33,32,30,36,0,40,31,30,34,30,45,36,26,29,26,32,22,42,32,24,27,147,36,25,32,29,26,38
27,26,36,24,27,28,26,25,27,24,34,0,32,29,30,19,35,20,27,39,26,21,22,27,37,21,25,21,147,19,27,26,17,25
43,33,31,27,32,32,24,31,36,34,26,34,0,42,35,20,20,21,27,33,23,25,23,25,31,29,29,23,21,147,25,21,21,23
24,33,28,30,26,34,25,23,39,30,19,24,36,0,30,13,28,27,24,30,26,30,21,21,26,26,28,22,21,32,147,23,19,28
29,37,24,32,27,24,31,26,26,25,36,36,24,31,0,18,18,25,21,26,26,25,21,23,15,22,27,30,23,15,12,147,19,22
32,31,27,43,33,36,31,31,34,39,47,39,38,38,31,25,0,38,24,42,34,33,39,25,20,28,28,26,32,36,24,27,21,147
42,25,29,29,22,34,29,30,26,25,30,28,28,32,31,0,28,29,25,25,26,35,32,28,29,34,40,31,31,33,34,22,147,23
