"E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
0,29,26,32,35,24,27,25,37,35,20,34,32,30,24,22,153,28,30,26,26,19,31,34,20,29,33,32,25,27,31,27
29,0,30,32,26,24,34,24,25,28,31,32,25,33,30,29,23,153,23,28,31,29,29,25,27,29,25,26,30,26,24,27
41,32,0,30,26,23,30,34,25,29,29,22,28,31,37,22,22,25,153,31,27,27,24,27,28,33,28,24,38,26,19,20
21,23,31,0,38,31,25,27,22,29,36,30,35,24,39,37,24,26,22,153,28,30,23,21,25,20,25,25,23,21,18,19
32,34,35,33,0,30,38,25,39,38,37,29,30,35,34,18,34,30,35,32,153,30,25,32,27,29,24,22,29,29,22,39
35,31,26,32,32,0,34,21,34,29,30,32,29,23,26,35,38,33,28,28,34,153,26,21,36,27,27,37,29,25,26,28
30,31,27,43,33,34,0,35,40,31,30,31,29,24,27,25,31,28,29,30,28,27,153,36,23,29,27,22,25,24,29,30
30,25,29,32,25,31,30,0,41,34,31,26,33,28,28,27,29,16,24,28,33,19,25,153,25,32,20,24,23,26,22,23
35,31,24,31,31,35,35,40,0,30,33,30,24,36,30,24,25,19,27,23,34,31,29,25,153,32,28,22,26,26,28,31
34,27,29,28,26,28,27,26,30,0,44,29,31,24,32,37,27,25,24,31,30,32,33,32,32,153,21,32,32,27,31,21
32,31,27,31,35,24,31,32,27,44,0,44,32,33,32,50,34,23,29,38,29,23,31,28,19,25,153,30,32,26,27,40
36,33,30,28,28,33,34,31,25,33,41,0,27,26,31,32,23,27,33,27,24,25,27,33,30,26,26,153,22,23,37,27
42,33,26,26,39,26,31,30,29,33,31,30,0,42,34,28,32,22,34,28,22,28,31,35,36,32,31,25,153,32,32,26
30,31,31,29,27,34,30,34,32,34,31,35,49,0,33,30,25,21,28,31,34,21,22,31,25,35,29,29,29,153,27,25
28,39,28,37,28,22,29,19,28,34,32,28,29,37,0,21,23,27,27,21,24,25,29,20,18,28,23,29,23,17,153,26
37,38,35,41,44,37,52,38,41,39,48,46,42,48,28,0,44,43,42,35,36,43,36,36,35,32,30,39,41,40,35,153
