"E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
0,21,27,34,35,25,29,33,40,33,26,30,27,26,24,20,23,147,35,27,23,22,20,21,30,25,32,26,29,28,30,35,24,23
25,0,22,23,21,23,23,24,29,27,27,31,26,26,21,21,12,24,147,22,27,26,18,29,29,30,29,22,16,21,18,23,21,18
33,32,0,27,27,27,30,32,29,29,20,29,30,26,31,24,21,20,26,147,30,26,28,23,28,28,25,28,28,31,32,28,22,25
24,24,22,0,38,24,19,23,22,27,22,30,34,28,37,20,24,23,26,26,147,22,19,28,28,23,18,19,27,20,19,18,23,18
28,23,26,22,0,31,34,25,30,24,26,27,19,25,29,21,19,29,32,26,27,147,24,29,24,22,27,21,18,21,26,20,20,27
33,29,26,23,29,0,33,27,34,26,32,25,30,27,29,19,29,25,24,25,19,25,147,25,22,31,20,24,28,20,23,20,19,25
27,27,27,30,24,25,0,36,26,22,29,27,26,22,24,24,28,24,24,26,23,17,17,147,24,18,24,21,22,19,22,18,18,22
30,19,33,24,25,24,29,0,35,32,25,26,29,28,35,20,28,19,19,21,29,22,19,20,147,17,25,15,20,19,27,24,22,26
27,28,16,28,24,25,34,31,0,27,31,22,17,38,25,18,23,15,19,25,18,27,23,18,27,147,24,26,22,18,20,23,19,26
36,24,32,22,29,28,26,19,33,0,35,36,27,20,26,18,26,24,23,25,25,29,27,27,32,27,147,20,25,28,21,26,23,25
27,32,29,32,29,26,27,30,29,36,0,39,37,30,29,28,48,28,24,30,34,22,23,27,22,24,23,147,30,27,27,28,20,41
30,31,33,23,26,27,27,34,24,35,40,0,28,29,24,22,37,24,23,29,28,27,29,23,24,25,31,29,147,21,24,31,25,23
40,34,22,24,34,28,27,32,26,33,20,31,0,38,27,22,22,21,26,31,25,26,20,29,28,28,27,24,20,147,24,25,20,21
22,26,32,26,32,31,22,26,34,28,21,26,38,0,27,14,33,18,29,22,28,25,23,19,24,20,24,26,23,27,147,20,22,24
25,33,31,30,34,28,28,24,37,25,35,33,22,35,0,15,20,22,28,23,22,30,14,24,14,17,18,17,29,19,16,147,17,25
33,38,38,39,36,38,35,26,31,30,40,41,36,45,32,15,0,34,33,44,27,32,39,28,30,32,30,34,34,38,24,32,28,147
36,35,41,35,27,30,41,27,37,44,31,39,29,26,37,0,30,33,27,33,29,36,24,32,34,35,33,30,29,37,26,35,147,24
