"E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","tired","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","tiredlag","angrylag"
0,28,30,33,32,21,23,31,33,34,29,32,27,24,23,25,23,150,29,21,23,20,24,21,32,19,31,27,30,22,30,26,25,23
32,0,34,34,20,24,33,28,28,34,29,35,28,33,36,15,22,27,150,24,25,35,27,24,27,23,26,22,28,31,24,26,29,26
32,24,0,27,22,26,29,33,28,25,27,27,27,30,33,25,29,17,26,150,27,25,21,21,20,29,26,20,24,28,32,33,32,18
27,22,21,0,30,26,24,22,18,27,31,25,31,22,30,19,22,23,19,14,150,26,29,21,26,25,18,26,24,14,24,22,25,15
30,21,35,37,0,30,33,23,38,38,33,26,29,30,30,31,22,32,27,26,29,150,25,23,23,19,30,17,18,25,19,22,30,29
32,33,26,28,32,0,33,27,35,27,30,30,32,22,24,25,27,27,33,28,20,27,150,20,20,29,23,24,29,22,28,28,23,21
24,26,30,36,31,32,0,32,35,23,33,27,24,23,30,22,31,24,25,32,24,21,23,150,26,23,29,24,24,19,23,26,33,21
28,29,28,30,21,25,25,0,43,31,29,28,32,26,38,27,31,29,26,23,32,30,20,25,150,22,29,18,23,24,28,29,24,26
33,36,28,37,30,32,38,36,0,25,28,29,18,36,29,20,25,22,23,32,31,31,27,21,27,150,22,28,29,22,30,27,29,25
29,24,32,21,28,22,27,21,26,0,37,28,29,27,29,23,26,23,26,24,22,29,30,29,34,22,150,16,28,27,23,21,23,22
24,28,25,29,31,26,26,29,27,41,0,41,35,35,29,31,45,34,24,29,33,29,23,35,31,30,28,150,33,25,29,28,29,39
24,30,37,26,23,29,27,29,27,34,37,0,31,28,25,35,34,21,27,30,31,25,19,32,24,21,25,29,150,22,26,27,16,30
42,40,26,31,33,30,27,30,28,27,30,30,0,34,31,20,16,21,31,34,24,25,32,25,28,29,30,24,28,150,28,28,29,22
31,25,36,30,31,30,28,30,32,32,30,29,46,0,28,25,30,28,22,29,27,29,22,24,30,23,34,25,24,25,150,23,27,21
21,28,26,31,30,27,30,15,31,23,31,29,27,29,0,19,22,26,21,27,27,29,21,24,17,17,24,27,25,20,19,150,26,29
37,36,34,40,30,36,43,42,35,34,51,43,37,45,30,27,0,38,32,37,32,30,42,26,28,32,30,33,32,42,32,29,34,150
37,37,31,35,39,42,25,35,29,31,39,45,34,31,35,0,25,28,29,27,29,28,31,25,34,32,24,27,27,32,28,23,150,19
